raw_venue,normalized_venue
Web Intelligence/IAT Workshops,Web Intelligence/Iat Workshops
Automata,Automata
IEEE Transactions Biomedical Circuits and Systems,Ieee Transaction On Biomedical Circuits And Systems
AMEC@AAMAS/TADA@IJCAI,Amec@Aamas/Tada@Ijcai
"Parallel and Distributed Systems, 2006. ICPADS 2006. 12th International Conference","Parallel And Distributed Systems, Icpads International Conference"
2015 17th International Conference on Transparent Optical Networks (ICTON),International Conference On Transparent Optical Networks
"Journal of the Chinese Institute of Engineers, Transactions of the Chinese Institute of Engineers,Series A/Chung-kuo Kung Ch'eng Hsuch K'an","Journal Of The Chinese Institute Of Engineers, Transactions Of The Chinese Institute Of Engineers,Series A/Chung-Kuo Kung Cheng Hsuch Kan"
A Hierarchy of Temporal Properties,A Hierarchy Of Temporal Properties
Software - Concepts and Tools / Structured Programming,Software - Concepts And Tools / Structured Programming
"IIH-MSP: 2006 International Conference on Intelligent Information Hiding and Multimedia Signal Processing, Proceedings","Iih-Msp: International Conference On Intelligent Information Hiding And Multimedia Signal Processing, Proceedings"
"International Conference on Digital Signal Processing, DSP",International Conference On Digital Signal Processing
ILP (Late Breaking Papers),Ilp (Late Breaking Papers
"INNOVATIVE MOBILE AND INTERNET SERVICES IN UBIQUITOUS COMPUTING, IMIS-2018","Innovative Mobile And Internet Services In Ubiquitous Computing, Imis"
COPA,Copa
Journal of Systems Chemistry,Journal Of Systems Chemistry
green computing and communications,Green Computing And Communications
ICWE,Icwe
ISCA Workshops,Isca Workshops
2016 16th International Symposium on Communications and Information Technologies (ISCIT),International Symposium On Communications And Information Technologies
Journal of Combinatorial Theory. Series A,Journal Of Combinatorial Theory Series A
DAC '97 Proceedings of the 34th annual Design Automation Conference,Dac Proceedings Of The Annual Design Automation Conference
Empirical Methods in Natural Language Processing,Empirical Methods In Natural Language Processing
Geophysical and Astrophysical Fluid Dynamics,Geophysical And Astrophysical Fluid Dynamics
ICPADS '00 Proceedings of the Seventh International Conference on Parallel and Distributed Systems: Workshops,Icpads Proceedings Of The Seventh International Conference On Parallel And Distributed Systems: Workshops
"TWELFTH IEEE INTERNATIONAL WORKSHOPS ON ENABLING TECHNOLOGIES: INFRASTRUCTURE FOR COLLABORATIVE ENTERPRISES, PROCEEDINGS","Twelfth Ieee International Workshops On Enabling Technologies: Infrastructure For Collaborative Enterprises, Proceedings"
J. Graphics Tools,J Graphics Tools
hardware oriented security and trust,Hardware Oriented Security And Trust
IEEE Real Time Technology and Applications Symposium,Ieee Real Time Technology And Applications Symposium
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,International Journal Of Computer Mathematics
JOURNAL OF INFORMATION POLICY,Journal Of Information Policy
"2006 IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS, VOLS 1-12",Ieee International Conference On Communications
Zhang Jiajie,Zhang Jiajie
2015 Information Security for South Africa (ISSA),Information Security South Africa
2016 53nd ACM/EDAC/IEEE Design Automation Conference (DAC),Acm/Edac/Ieee Design Automation Conference
"ADVANCES IN VISUAL COMPUTING, PT I (ISVC 2015)","Advances In Visual Computing, Pt"
"TIPSTER '93 Proceedings of a workshop on held at Fredericksburg, Virginia: September 19-23, 1993","Tipster Proceedings Of A Workshop On Held At Fredericksburg, Virginia: September"
International Journal of Online Engineering (ijoe),International Journal Of Online Engineering
ROBOTIK 2012; 7th German Conference on Robotics,Robotik ; German Conference On Robotics
NATO ASI DBM,Nato Asi Dbm
Local Computer Networks,Local Computer Networks
FOLIA BIOLOGICA,Folia Biologica
Autonomous and Intelligent Systems,Autonomous And Intelligent Systems
Yamanashi,Yamanashi
"2015 12th Annual IEEE International Conference on Sensing, Communication, and Networking (SECON)","Ieee International Conference On Sensing, Communication And Networking"
Dependable Systems & Networks,Dependable Systems And Networks
FRUCT-15,Fruct
JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,Journal Of Network And Systems Management
"Algorithmica - Special Issue: Matching Under Preferences; Guest Editors: David F. Manlove, Robert W. Irving and Kazuo Iwama","Algorithmica - Special : Matching Under Preferences; Guest Editors: David F Manlove, Robert W Irving And Kazuo Iwama"
Fast algorithms for the multidimensional discrete fourier transform,Fast Algorithms For The Multidimensional Discrete Fourier Transform
EUROPEAN PHYSICAL JOURNAL B,The European Physical Journal B
2016 IEEE Tenth International Conference on Research Challenges in Information Science (RCIS),Ieee Tenth International Conference On Research Challenges In Information Science
ICSE '01 Proceedings of the 23rd International Conference on Software Engineering,Icse Proceedings Of The International Conference On Software Engineering
ISSSE,Issse
Grammars and Automata for String Processing,Grammars And Automata For String Processing
FSKD '09 Proceedings of the 2009 Sixth International Conference on Fuzzy Systems and Knowledge Discovery - Volume 05,Fskd Proceedings Of The Fourth International Conference On Fuzzy Systems And Knowledge Discovery
"HUMAN-COMPUTER INTERACTION - INTERACT 2011, PT I","Human-Computer Interaction - Interact , Pt"
"PROCEEDINGS OF THE 56TH ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS (ACL), VOL 1",Proceedings Of The Annual Meeting Of The Association For Computational Linguistics
The Computer Journal - Special issue on term rewriting,The Computer Journal - Special On Term Rewriting
"CPSNA '15 Proceedings of the 2015 IEEE 3rd International Conference on Cyber-Physical Systems, Networks, and Applications","Cpsna Proceedings Of The Ieee International Conference On Cyber-Physical Systems, Networks, And Applications"
ASIA CCS 2017 - Proceedings of the 2017 ACM Asia Conference on Computer and Communications Security,Asia Ccs - Proceedings Of The Acm Asia Conference On Computer And Communications Security
2015 7th International Conference on Cyber Conflict: Architectures in Cyberspace,International Conference On Cyber Conflict: Architectures In Cyberspace
MICRO Workshops,Micro Workshops
DDMMT@ACL,Ddmmt@Acl
AMTA,Amta
Cryptology and Information Security Series,Cryptology And Information Security Series
Journal of Physical Chemistry Letters,Journal Of Physical Chemistry Letters
"COMPUTER AIDED VERIFICATION, CAV 2019, PT I","Computer Aided Verification, Cav , Pt"
ACAC,Acac
Cognitive Science,Cognitive Science
Computers & Chemistry,Computers And Chemistry
HiPEAC,Hipeac
IJHPCN,Ijhpcn
2017 16th International Conference on Information Technology Based Higher Education and Training (ITHET),International Conference On Information Technology Based Higher Education And Training
EXPERT SYSTEMS,Expert Systems
2015 IEEE International Symposium on Power Line Communications and Its Applications (ISPLC),Ieee International Symposium On Power Line Communications And Its Applications
"2004 IEEE CONFERENCE ON ROBOTICS, AUTOMATION AND MECHATRONICS, VOLS 1 AND 2","Ieee Conference On Robotics, Automation, And Mechatronics, Vols And"
ATVA,Atva
"J. Graphics, GPU, & Game Tools","J Graphics, Gpu, And Game Tools"
"Bell Harbor, WA","Bell Harbor, Wa"
IN MEMORY DATA MANAGEMENT AND ANALYSIS,In Memory Data Management And Analysis
Environment Systems and Decisions,Environment Systems And Decisions
"Vehicular Technology Conference, 1998. VTC 98. 48th IEEE","Vehicular Technology Conference, Ieee"
"PROCEEDINGS OF THE 41ST IEEE CONFERENCE ON DECISION AND CONTROL, VOLS 1-4","Proceedings Of The Ieee Conference On Decision And Control, Vols"
"2016 IEEE 18th International Conference on e-Health Networking, Applications and Services (Healthcom)","Ieee International Conference On E-Health Networking, Applications And Services"
"2016 IEEE International Conferences on Big Data and Cloud Computing (BDCloud), Social Computing and Networking (SocialCom), Sustainable Computing and Communications (SustainCom) (BDCloud-SocialCom-SustainCom)","Ieee International Conferences On Big Data And Cloud Computing , Social Computing And Networking , Sustainable Computing And Communications (Bdcloud-Socialcom-Sustaincom"
"AMIA 2002 SYMPOSIUM, PROCEEDINGS: BIOMEDICAL INFORMATICS: ONE DISCIPLINE","Amia Symposium, Proceedings: Biomedical Informatics: One Discipline"
"Incline Village, NV","Incline Village, Nv"
2019 8th International Conference on Agro-Geoinformatics (Agro-Geoinformatics),International Conference On Agro-Geoinformatics (Agro-Geoinformatics
Psychonomic bulletin & review,Psychonomic Bulletin And Review
2016 International Wireless Communications and Mobile Computing Conference (IWCMC),International Wireless Communications And Mobile Computing Conference
RSFDGrC,Rsfdgrc
international conference on Human-computer interaction with mobile devices & services,International Conference On Human-Computer Interaction With Mobile Devices And Services
SIBERIAN ELECTRONIC MATHEMATICAL REPORTS-SIBIRSKIE ELEKTRONNYE MATEMATICHESKIE IZVESTIYA,Siberian Electronic Mathematical Reports-Sibirskie Elektronnye Matematicheskie Izvestiya
Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers,Proceedings Of The Vldb Workshop Eextt And Caise Workshop Dtweb On Efficiency And Effectiveness Of Xml Tools And Techniques And Data Integration Over The Web-Revised Papers
JOURNAL OF DIGITAL FORENSICS SECURITY AND LAW,Journal Of Digital Forensics Security And Law
PARA (2),Para
COIS,Cois
New Generation Computing - Special issue on algorithmic learning theory,New Generation Computing - Special On Algorithmic Learning Theory
euromicro conference on real-time systems,Euromicro Conference On Real-Time Systems
2019 II Workshop on Metrology for Industry 4.0 and IoT (MetroInd4.0&IoT),Workshop On Metrology For Industry And Iot
IEEE CONCURRENCY,Ieee Concurrency
Modelling and Evaluation of ATM Networks,Modelling And Evaluation Of Atm Networks
arXiv: Statistical Mechanics,Arxiv: Statistical Mechanics
Abstract State Machines,Abstract State Machines
IEEE Antennas and Wireless Propagation Letters,Ieee Antennas And Wireless Propagation Letters
Euro-Par (2),Euro-Par
International Journal of Computer Science & Applications,International Journal Of Computer Science And Applications
MLICOM,Mlicom
Hypermedia,Hypermedia
Proceedings of the SIGCHI conference on human factors in computing systems CHI Conference,Proceedings Of The Sigchi Conference On Human Factors In Computing Systems Chi Conference
2018 IEEE 4th International Workshop on High-Performance Interconnection Networks in the Exascale and Big-Data Era (HiPINEB),Ieee International Workshop On High-Performance Interconnection Networks In The Exascale And Big-Data Era
Companion of the 2020 ACM International Conference on Supporting Group Work,Companion Of The Acm International Conference On Supporting Group Work
Geographical Research,Geographical Research
International Journal of ICT Research and Development in Africa,International Journal Of Ict Research And Development In Africa
Unconventional Computing,Unconventional Computing
"2015 IEEE 26th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)","Ieee International Symposium On Personal, Indoor And Mobile Radio Communications"
Molecular and Cellular Biochemistry,Molecular And Cellular Biochemistry
2014 International Conference on Privacy and Security in Mobile Systems (PRISMS),International Conference On Privacy And Security In Mobile Systems
Journal of the Atmospheric Sciences,Journal Of The Atmospheric Sciences
2016 2nd International Conference on Open and Big Data (OBD),International Conference On Open And Big Data
2015 IEEE International Conference on Computer Vision Workshop (ICCVW),Ieee/Cvf International Conference On Computer Vision Workshop
"Mathematical Programming: Series A and B - Special Issue on ""Optimization and Machine learning""; Alexandre d’Aspremont • Francis Bach • Inderjit S. Dhillon • Bin Yu",Mathematical Programming: Series A And B - Special On Optimization And Machine Learning; Alexandre Daspremont Francis Bach Inderjit S Dhillon Bin Yu
2007 2nd International Conference on Communication Systems Software and Middleware,International Conference On Communication Systems Software And Middleware
Bulletin of The European Association for Theoretical Computer Science,Bulletin Of The European Association For Theoretical Computer Science
LSSC,Lssc
"Notre Dame, IN","Notre Dame, In"
2018 IEEE 39th Sarnoff Symposium,Ieee Sarnoff Symposium
ICSS,Icss
Theory of Computing,Theory Of Computing
HPEC,Hpec
"System Sciences, 2006. HICSS '06. Proceedings of the 39th Annual Hawaii International Conference","Systems Sciences, Hicss- Proceedings Of The Annual Hawaii International Conference"
"PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING, CP 2016",Principles And Practice Of Constraint Programming
Discrete & Computational Geometry - Special Issue: 25th Annual Symposium on Computational Geometry; Guest Editor: John Hershberger,Discrete And Computational Geometry - Special : Annual Symposium On Computational Geometry; Guest Editor: John Hershberger
2018 26th European Signal Processing Conference (EUSIPCO),European Signal Processing Conference
JOURNAL OF AEROSPACE INFORMATION SYSTEMS,Journal Of Aerospace Information Systems
"WEB-AGE INFORMATION MANAGEMENT, PT I","Web-Age Information Management, Pt"
Asia Pacific Journal of Multidisciplinary Research,Asia Pacific Journal Of Multidisciplinary Research
2014 SEVENTH INTERNATIONAL CONFERENCE ON MOBILE COMPUTING AND UBIQUITOUS NETWORKING (ICMU),Eleventh International Conference On Mobile Computing And Ubiquitous Network
ICORR,Icorr
APNOMS,Apnoms
"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems","Ieee International Symposium On Modeling, Analysis, And Simulation Of Computer And Telecommunication Systems"
UAI '88 Proceedings of the Fourth Annual Conference on Uncertainty in Artificial Intelligence,Uai Proceedings Of The Fifth Annual Conference On Uncertainty In Artificial Intelligence
Information Technology Journal,Information Technology Journal
2009 4TH INTERNATIONAL CONFERENCE ON MALICIOUS AND UNWANTED SOFTWARE (MALWARE 2009),International Conference On Malicious And Unwanted Software
JOURNAL OF MECHANICAL DESIGN,Journal Of Mechanical Design
International Journal of Humanoid Robotics,International Journal Of Humanoid Robotics
"Evolutionary Computation, IEEE Transactions","Evolutionary Computation, Ieee Transactions"
"PROCEEDINGS OF THE 54TH ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS (ACL 2016), VOL 2",Proceedings Of The Annual Meeting Of The Association For Computational Linguistics
"SIGSIM-PADS '16: SIGSIM Principles of Advanced Discrete Simulation
		      Banff
		      Alberta
		      Canada
		    May, 2016",Sigsim-Pads : Sigsim Principles Of Advanced Discrete Simulation Banff Alberta Canada May
COIN@AAMAS/ECAI,Coin@Aamas/Ecai
ESANN,Esann
Quantum Computing and Quantum Communications,Quantum Computing And Quantum Communications
"VISUAL COMMUNICATIONS AND IMAGE PROCESSING 2003, PTS 1-3",Visual Communications And Image Processing
ANNALS OF THE UNIVERSITY OF CRAIOVA-MATHEMATICS AND COMPUTER SCIENCE SERIES,Annals Of The University Of Craiova-Mathematics And Computer Science Series
Weak orthogonality implies confluence: the higher-order case,Weak Orthogonality Implies Confluence: The Higher-Order Case
2005 IEEE International Workshop on Haptic Audio Visual Environments and their Applications,Ieee International Workshop On Haptic Audio Visual Environments And Their Applications
THEORETICAL CHEMISTRY ACCOUNTS,Theoretical Chemistry Accounts
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,Journal Of Dynamic Systems Measurement And Control-Transactions Of The Asme
IFAC PAPERSONLINE,Ifac-Papersonline
IR '95 Papers from the 1995 ACM SIGPLAN workshop on Intermediate representations,Ir Papers From The Acm Sigplan Workshop On Intermediate Representations
SemWiki@ESWC,Semwiki@Eswc
2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER),Fourteenth International Conference On Ecological Vehicles And Renewable Energies
"2008 IEEE INTERNATIONAL SYMPOSIUM ON MODELING, ANALYSIS & SIMULATION OF COMPUTER AND TELECOMMUNICATION SYSTEMS (MASCOTS)","Ieee International Symposium On Modeling, Analysis, And Simulation Of Computer And Telecommunication Systems"
principles of distributed computing,Principles Of Distributed Computing
DATABASES IN NETWORKED INFORMATION SYSTEMS (DNIS 2015),Databases In Networked Information Systems
JOURNAL OF HIGH ENERGY PHYSICS,Journal Of High Energy Physics
Journal of Computational and Applied Mathematics - Special issue: Probabilistic methods in combinatorics and combinatorial optimization,Journal Of Computational And Applied Mathematics - Special : Probabilistic Methods In Combinatorics And Combinatorial Optimization
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,Ieee Transactions On Circuits And Systems : Express Briefs
Collaboration Research for Crisis Management Teams,Collaboration Research For Crisis Management Teams
CHI '83 Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Chi Proceedings Of The Sigchi Conference On Human Factors In Computing Systems
Evolvable Hardware,Evolvable Hardware
Int. J. Software and Informatics,Int J Software And Informatics
YEAST,Yeast
ICDMA,Icdma
2017 IEEE International Workshop on Measurement and Networking (M&N),Ieee International Workshop On Measurement And Networking
"COMPUTER VISION - ECCV 2014, PT IV","Computer Vision - Eccv , Pt"
ARSPA-WITS,Arspa-Wits
"COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2017, PT VI","Computational Science And Its Applications - Iccsa , Pt"
EUNICE,Eunice
Journal of digital imaging,Journal Of Digital Imaging
Proceedings of the 2nd International Workshop on Emerging Trends in Software Engineering for Blockchain,Proceedings Of The International Workshop On Emerging Trends In Software Engineering For Blockchain
Categorial Methods in Computer Science,Categorial Methods In Computer Science
FLUCTUATION AND NOISE LETTERS,Fluctuation And Noise Letters
RePa,Repa
SIAM J. Control and Optimization,Siam J Control And Optimization
Unusual Applications of Number Theory,Unusual Applications Of Number Theory
DUBMMSM,Dubmmsm
"Toward the Rectilinear Crossing Number of K_n: New Drawings, Upper Bounds, and Asymptotics","Toward The Rectilinear Crossing Number Of K_N: New Drawings, Upper Bounds, And Asymptotics"
ICSOFT (ISDM/ABF),Icsoft
VLSI-SoC,Vlsi-Soc
MULTITEMP 2013: 7TH INTERNATIONAL WORKSHOP ON THE ANALYSIS OF MULTI-TEMPORAL REMOTE SENSING IMAGES,Multitemp : International Workshop On The Analysis Of Multi-Temporal Remote Sensing Images
BULLETIN OF THE PSYCHONOMIC SOCIETY,Bulletin Of The Psychonomic Society
IPSN '05 Proceedings of the 4th international symposium on Information processing in sensor networks,Ipsn Proceedings Of The International Symposium On Information Processing In Sensor Networks
ECSA,Ecsa
IEEE METRICS,Ieee Metrics
Cairo,Cairo
SAL@SIGIR,Sal@Sigir
"IGARSS 2002: IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM AND 24TH CANADIAN SYMPOSIUM ON REMOTE SENSING, VOLS I-VI, PROCEEDINGS: REMOTE SENSING: INTEGRATING OUR VIEW OF THE PLANET","Igarss : Ieee International Geoscience And Remote Sensing Symposium And Canadian Symposium On Remote Sensing, Vols -, Proceedings: Remote Sensing: Integrating Our View Of The Planet"
Geoinformatics,Geoinformatics
conference on scientific computing,Conference On Scientific Computing
IPDPS Workshops,Ipdps Workshops
International Journal of Advanced Media and Communication,International Journal Of Advanced Media And Communication
"CLOUD COMPUTING AND SECURITY, PT IV","Cloud Computing And Security, Pt"
Communication and Information Theory,Communications And Information Theory
JOBIM,Jobim
Computer Networks and Isdn Systems,Computer Networks And Isbn Systems
2017 IEEE 24th International Conference on High Performance Computing (HiPC),Ieee International Conference On High Performance Computing
Heliyon,Heliyon
MEDICAL PHYSICS,Medical Physics
ACM Sigarch Computer Architecture News,Sigarch Computer Architecture News
"ICFPT 2007: INTERNATIONAL CONFERENCE ON FIELD-PROGRAMMABLE TECHNOLOGY, PROCEEDINGS","Icfpt : International Conference On Field-Programmable Technology, Proceedings"
Proceedings of IEEE 9th Annual Conference on Structure in Complexity Theory,Proceedings Of Ieee Annual Conference On Structure In Complexity Theory
A practical hierarchical model of parallel computation,A Practical Hierarchical Model Of Parallel Computation
IJMSTR,Ijmstr
REBLS@SPLASH,Rebls@Splash
Balanced Allocations (Extended abstract),Balanced Allocations (Extended Abstract
WAVELETS AND SPARSITY XVI,Wavelets And Sparsity
"broadband communications, networks and systems","Broadband Communications, Networks And Systems"
Informing Science The International Journal of an Emerging Transdiscipline,Informing Science The International Journal Of An Emerging Transdiscipline
IEEE International Conference on Mobile Ad hoc and Sensor Systems,Ieee International Conference On Mobile Ad Hoc And Sensor Systems
International Journal of Emerging Technologies in Learning,International Journal Of Emerging Technologies In Learning
IPUS An Architecture for the Integrated Processing and Understanding of Signals,Ipus An Architecture For The Integrated Processing And Understanding Of Signals
Timing Issues in the Specification and Synthesis of Digital Systems,Timing Issues In The Specification And Synthesis Of Digital Systems
2019 16TH IEEE ANNUAL CONSUMER COMMUNICATIONS & NETWORKING CONFERENCE (CCNC),Ieee Annual Consumer Communications And Networking Conference
Encyclopedia of Machine Learning,Encyclopedia Of Machine Learning
BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,Bulletin Of The London Mathematical Society
Aegean Workshop on Computing,Aegean Workshop On Computing
"ADVANCES IN COMPUTERS, VOL 58: HIGHLY DEPENDABLE SOFTWARE","Advances In Computers, : Highly Dependable Software"
2015 IEEE 15th International Working Conference on Source Code Analysis and Manipulation (SCAM),Ieee International Working Conference On Source Code Analysis And Manipulation
EDMCC2 Proceedings of the 2nd European conference on Distributed memory computing,Edmcc2 Proceedings Of The European Conference On Distributed Memory Computing
"Software Engineering, Artificial Intelligence, Networking and Parallel & Distributed Computing","Software Engineering, Artificial Intelligence, Networking And Parallel/Distributed Computing"
2008 3rd International Symposium on Wireless Pervasive Computing,International Symposium On Wireless Pervasive Computing
PROCEEDINGS OF THE 40TH EUROPEAN SOLID-STATE CIRCUIT CONFERENCE (ESSCIRC 2014),Proceedings Of The European Solid-State Circuits Conference
Active Middleware Services,Active Middleware Services
distributed event-based systems,Distributed Event-Based Systems
SGDA,Sgda
Semantic Media Adaptation and Personalization,Semantic Media Adaptation And Personalization
ATS '01 Proceedings of the 10th Anniversary Compendium of Papers from Asian Test Symposium 1992-2001,Ats Proceedings Of The Anniversary Compendium Of Papers From Asian Test Symposium
XIME-P,Xime-P
"UbiComp '16: The 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing
		      Heidelberg
		      Germany
		    September, 2016",Ubicomp : The Acm International Joint Conference On Pervasive And Ubiquitous Computing Heidelberg Germany September
Synthesis for Scan Dependence in Built-In Self-Testable Designs,Synthesis For Scan Dependence In Built-In Self-Testable Designs
ASSEMBLY AUTOMATION,Assembly Automation
WODA@ICSE,Woda@Icse
American Journal of Applied Sciences,American Journal Of Applied Sciences
"Proceedings - 9th International Conference on Information Technology, ICIT 2006","Proceedings - International Conference On Information Technology, Icit"
2015 IEEE International Symposium on Mixed and Augmented Reality Workshops,Ieee International Symposium On Mixed And Augmented Reality Workshops
"COLLABORATION AND TECHNOLOGY, CRIWG 2013","Collaboration And Technology, Criwg"
"2006 6TH IEEE-RAS INTERNATIONAL CONFERENCE ON HUMANOID ROBOTS, VOLS 1 AND 2","Ieee-Ras International Conference On Humanoid Robots, Vols And"
Virtual Private Networks Identifier,Virtual Private Networks Identifier
European Management Journal,European Management Journal
JSSPP,Jsspp
Symposium on Reliability in Distributed Software and Database Systems,Symposium On Reliability In Distributed Software And Database Systems
"SenSys '17: The 15th ACM Conference on Embedded Network Sensor Systems
		      Delft
		      Netherlands
		    November, 2017",Sensys : The Acm Conference On Embedded Network Sensor Systems Delft Netherlands November
Conceptual Modeling: Foundations and Applications,Conceptual Modeling: Foundations And Applications
Behavioural Psychotherapy,Behavioural Psychotherapy
COMMUNICATION RESEARCH,Communication Research
WSKS (1),Wsks
Ima Journal of Management Mathematics,Ima Journal Of Management Mathematics
Datalog,Datalog
"Robotics and Automation, 2000. Proceedings. ICRA '00. IEEE International Conference",Robotics And Automation Proceedings Ieee International Conference
Artificial Intelligence - Special volume on empirical methods,Artificial Intelligence - Special On Empirical Methods
Ipsj Online Transactions,Ipsj Online Transactions
2017 18th IEEE International Conference on Mobile Data Management (MDM),Ieee International Conference On Mobile Data Management
"Concurrency, Security, and Puzzles","Concurrency, Security, And Puzzles"
JOURNAL OF NUMERICAL MATHEMATICS,Journal Of Numerical Mathematics
Proceedings of the Evaluation and Assessment on Software Engineering,Proceedings Of The Evaluation And Assessment On Software Engineering
"EIGHTH WORKSHOP ON INTERACTION BETWEEN COMPILERS AND COMPUTER ARCHITECTURES, PROCEEDINGS","Eighth Workshop On Interaction Between Compilers And Computer Architectures, Proceedings"
2018 Power Systems Computation Conference (PSCC),Power Systems Computation Conference
workshop on algorithms and data structures,Workshop On Algorithms And Data Structures
meeting of the association for computational linguistics,Meeting Of The Association For Computational Linguistics
Sandbox@SIGGRAPH,Sandbox@Siggraph
2016 IEEE 16th International Conference on Bioinformatics and Bioengineering (BIBE),Ieee International Conference On Bioinformatics And Bioengineering
2016 11th International Design & Test Symposium (IDT),International Design And Test Symposium
"QSIC '04 Proceedings of the Quality Software, Fourth International Conference","Qsic Proceedings Of The Quality Software, Fourth International Conference"
CCGRID 2007: SEVENTH IEEE INTERNATIONAL SYMPOSIUM ON CLUSTER COMPUTING AND THE GRID,Ccgrid : Seventh Ieee International Symposium On Cluster Computing And The Grid
Reykjavik,Reykjavik
Annals of Mathematical Logic,Annals Of Mathematical Logic
Transportation Science,Transportation Science
CRV '15 Proceedings of the 2015 12th Conference on Computer and Robot Vision,Crv Proceedings Of The Conference On Computer And Robot Vision
International Journal of Gaming and Computer-Mediated Simulations,International Journal Of Gaming And Computer-Mediated Simulations
Czechoslovak Mathematical Journal,Czechoslovak Mathematical Journal
"ARTIFICIAL INTELLIGENCE: METHODOLOGY, SYSTEMS, AND APPLICATIONS","Artificial Intelligence: Methodology, Systems, Applications"
Iete Journal of Research,Iete Journal Of Research
"Circuits, Systems, and Signal Processing",Circuits Systems And Signal Processing
International Journal of Satellite Communications and Networking,International Journal Of Satellite Communications And Networking
Interconnection networks for high-performance parallel computers,Interconnection Networks For High-Performance Parallel Computers
NETWORKS AND HETEROGENEOUS MEDIA,Networks And Heterogeneous Media
"INFORMATION PROCESSING AND MANAGEMENT OF UNCERTAINTY IN KNOWLEDGE-BASED SYSTEMS: APPLICATIONS, PT II","Information Processing And Management Of Uncertainty In Knowledge-Based Systems: Applications, Pt"
Unifying Theories of Programming,Unifying Theories Of Programming
MARKETING SCIENCE,Marketing Science
Geometric Partitioning and Its Applications,Geometric Partitioning And Its Applications
PHYSICS: PROCEEDINGS OF THE 3RD INTERNATIONAL CONFERENCE ON PHYSIOLOGICAL COMPUTING SYSTEMS,Physics: Proceedings Of The International Conference On Physiological Computing Systems
IMMPD@ACM Multimedia,Immpd@Acm Multimedia
Journal of Statistical Physics,Journal Of Statistical Physics
2015 7th International Conference on Games and Virtual Worlds for Serious Applications (VS-Games),International Conference On Games And Virtual Worlds For Serious Applications
German Conference on Artificial Intelligence,German Conference On Artificial Intelligence
"Intelligent Robots and Systems, 1999. IROS '99. Proceedings. 1999 IEEE/RSJ International Conference","Intelligent Robots And Systems , Iros , Proceedings Of The Ieee/Rsj International Conference"
JOWO,Jowo
ieee international conference on high performance computing data and analytics,"Ieee International Conference On High Performance Computing, Data, And Analytics"
ICDM '04 Proceedings of the Fourth IEEE International Conference on Data Mining,Icdm Proceedings Of The Fourth Ieee International Conference On Data Mining
Experimental Mathematics,Experimental Mathematics
HAIS (1),Hais
Commerce and Enterprise Computing,Commerce And Enterprise Computing
Proceedings of the 2019 ACM SIGSAC Conference on Cloud Computing Security Workshop,Proceedings Of The Acm Sigsac Conference On Cloud Computing Security Workshop
ISCRAM-med,Iscram-Med
Proceedings of the 8th Augmented Human International Conference,Proceedings Of The Augmented Human International Conference
ILPS,Ilps
Proceedings of the Halfway to the Future Symposium 2019,Proceedings Of The Halfway To The Future Symposium
"Industrial Electronics Society, 2004. IECON 2004. 30th Annual Conference of IEEE","Industrial Electronics Society, Iecon Annual Conference Of Ieee"
Proceedings of the sixth international conference on 3D Web technology,Proceedings Of The Sixth International Conference On 3D Web Technology
Proceedings of the twenty-second annual symposium on Computational geometry,Proceedings Of The Twenty-Seventh Annual Symposium On Computational Geometry
"2006 11th International Workshop on Computer-Aided Modeling, Analysis and Design of Communication Links and Networks","International Workshop On Computer-Aided Modeling, Analysis And Design Of Communication Links And Networks"
"AISC'10/MKM'10/Calculemus'10 Proceedings of the 10th ASIC and 9th MKM international conference, and 17th Calculemus conference on Intelligent computer mathematics","Aisc/Mkm/Calculemusproceedings Of The Asic And Mkm International Conference, And Calculemus Conference On Intelligent Computer Mathematics"
ESIAT (2),Esiat
2011 IEEE International Conference on Robotics and Automation,International Conference On Robotics And Automation
SNDSS '96 Proceedings of the 1996 Symposium on Network and Distributed System Security (SNDSS '96),Sndss Proceedings Of The Symposium On Network And Distributed System Security
IEEE Transactions Fuzzy Systems,Ieee Transactions On Fuzzy Systems
